Feature,Mean,Std,Min,Max,Variance
position,632.0,365.318354315794,0.0,1264.0,133457.5
molecular_weight,1158.1415019762846,84.62784160826703,929.0,1497.0,7161.871575273932
charge,0.004347826086956522,1.1770572103299133,-5.0,4.0,1.385463676389638
hydrophobicity,-0.0876416337285903,0.8923959505246521,-2.5888888888888886,3.222222222222222,0.7963705325127973
pi_charge_balance,0.8454545454545455,0.8186108388046893,0.0,5.0,0.670123705408517
small_residues,0.3268335529205095,0.14856160190613982,0.0,0.7777777777777778,0.02207054956091837
polar_residues,0.2728151075977163,0.14803653473992798,0.0,0.7777777777777778,0.0219148156178059
sheet_propensity,1.0486543697848045,0.10948608018928682,0.6422222222222222,1.4455555555555555,0.011987201755214946
aromaticity,0.11137461572244181,0.10667080932529892,0.0,0.5555555555555556,0.011378661562114279
comp_L,0.08432147562582344,0.09497156051234516,0.0,0.4444444444444444,0.00901959730615004
helix_propensity,0.9747790953008345,0.09306835590227286,0.6866666666666668,1.2333333333333334,0.008661718870352128
comp_S,0.0782608695652174,0.08946205017108143,0.0,0.4444444444444444,0.00800345842081309
comp_A,0.062450592885375494,0.08924083455604268,0.0,0.4444444444444444,0.007963926552258981
comp_T,0.07597716293368469,0.08612969869718665,0.0,0.4444444444444444,0.007418324997668156
comp_V,0.0756258234519104,0.08518658302273661,0.0,0.4444444444444444,0.007256753927089597
comp_N,0.06956521739130435,0.08456307424573996,0.0,0.4444444444444444,0.007150913525890529
comp_I,0.06007905138339921,0.08041984784181436,0.0,0.3333333333333333,0.006467351926900574
comp_G,0.06464646464646465,0.07966503129665017,0.0,0.3333333333333333,0.006346517211496251
comp_F,0.059815546772068504,0.07542079393598716,0.0,0.3333333333333333,0.005688296157934637
comp_D,0.04901185770750988,0.07139404329086294,0.0,0.3333333333333333,0.005097109417417612
comp_C,0.03162055335968379,0.07123564818420874,0.0,0.5555555555555556,0.005074517572224363
comp_K,0.047782169521299954,0.07044348178971262,0.0,0.3333333333333333,0.004962284126657573
coil_propensity,-0.01171673254281949,0.06989136729803806,-0.26888888888888873,0.24111111111111105,0.0048848032227892645
comp_Q,0.04901185770750988,0.06959284078384931,0.0,0.3333333333333333,0.0048431634883662
comp_Y,0.04207290294246816,0.06815782202696662,0.0,0.3333333333333333,0.004645488703459656
comp_P,0.0458498023715415,0.06634044867408652,0.0,0.3333333333333333,0.004401055130279107
comp_E,0.037944664031620556,0.061279587022441045,0.0,0.3333333333333333,0.0037551877856409253
comp_R,0.03320158102766799,0.05905373768061623,0.0,0.3333333333333333,0.0034873439340510335
comp_H,0.012911725955204215,0.03902400009261591,0.0,0.2222222222222222,0.0015228725832284868
comp_M,0.0103645147123408,0.03737155496055878,0.0,0.3333333333333333,0.0013966331201700653
comp_W,0.009486166007905139,0.03601217739342758,0.0,0.3333333333333333,0.0012968769206156965
